ID,Study,Author,year,Title,Marker,Sensitivity,Specificity,Size,Prevalence,Case,Control,Stage,is.size150,is.prevalence05,is.ed,is.icu,is.serum,is.wb,is.plasma,is.medical,is.surgical,is.as,is.eu,is.sponsorship,is.case.control,is.ps.norisk,is.it.norisk,is.rs.norisk,is.ft.norisk,is.ps.app,is.it.app,is.rs.app
1,"Otani, T., 2021","Otani, T. and Ichiba, T. and Seo, K. and Naito, H.",2021,Clinical prediction rule is more useful than qSOFA and the Sepsis-3 definition of sepsis for screening bacteremia,qSOFA,0.23,0.91,986,0.173427992,171,815,sepsis 3.0,1,0,1,0,0,0,0,1,0,1,0,0,1,,,,,,,
1,"Otani, T., 2021","Otani, T. and Ichiba, T. and Seo, K. and Naito, H.",2021,Clinical prediction rule is more useful than qSOFA and the Sepsis-3 definition of sepsis for screening bacteremia,SIRS,0.72,0.42,986,0.173427992,171,815,sepsis 3.0,1,0,1,0,0,0,0,1,0,1,0,0,1,,,,,,,
2,"Saito, A., 2023","Saito, A. and Osawa, I. and Shibata, J. and Sonoo, T. and Nakamura, K. and Goto, T.",2023,The prognostic utility of prehospital qSOFA in addition to emergency department qSOFA for sepsis in patients with suspected infection: A retrospective cohort study,qSOFA,0.9,0.28,2407,0.153302867,369,2038,sepsis 3.0,1,0,1,0,0,0,0,1,0,1,0,0,0,,,,,,,
3,"Ubaldo O.G.V., 2022",Ubaldo O.G.V.; Ang S.R.C.; Raymundo-Tayzon M.F.; Abad C.L.R.; Henson K.E.R.; Cinco J.E.L.,2022,A Prospective Cohort Study of the Quick Sequential Organ Failure Assessment (qSOFA) Score versus Systemic Inflammatory Response Syndrome (SIRS) Criteria in the Determination and Prognostication of Sepsis in a Philippine Tertiary Hospital.,qSOFA,0.463,0.955,295,0.322033898,95,200,sepsis 3.0,1,0,1,0,0,0,0,1,0,1,0,0,1,,,,,,,
3,"Ubaldo O.G.V., 2022",Ubaldo O.G.V.; Ang S.R.C.; Raymundo-Tayzon M.F.; Abad C.L.R.; Henson K.E.R.; Cinco J.E.L.,2022,A Prospective Cohort Study of the Quick Sequential Organ Failure Assessment (qSOFA) Score versus Systemic Inflammatory Response Syndrome (SIRS) Criteria in the Determination and Prognostication of Sepsis in a Philippine Tertiary Hospital.,SIRS,0.737,0.6,295,0.322033898,95,200,sepsis 3.0,1,0,1,0,0,0,0,1,0,1,0,0,1,,,,,,,
4,"Nasr El-Din A, 2021",Nasr El-Din A and Abdel-Gawad AR and Abdelgalil W and Fahmy NF,2021,Evaluation of sTREM1 and suPAR Biomarkers as Diagnostic and Prognostic Predictors in Sepsis Patients.,CRP,0.524,1,67,0.626865672,42,25,SIRS vs sepsis,0,1,0,1,1,1,0,1,0,0,0,0,1,,,,,,,
4,"Nasr El-Din A, 2021",Nasr El-Din A and Abdel-Gawad AR and Abdelgalil W and Fahmy NF,2021,Evaluation of sTREM1 and suPAR Biomarkers as Diagnostic and Prognostic Predictors in Sepsis Patients.,sTREM-1,1,1,67,0.626865672,42,25,SIRS vs sepsis,0,1,0,1,1,1,0,1,0,0,0,0,1,,,,,,,
5,"Pierre Hausfater, 2021","Pierre Hausfater, Neus Robert Boter, Cristian Morales Indiano, Marta Cancella de Abreu, Adria Mendoza Marin, Julie Pernet, Dolores Quesada, Iris Castro, Diana Careaga, Michel Arock, Liliana Tejidor, and Laetitia Velly",2021,Monocyte distribution width (MDW) performance as an early sepsis indicator,PCT,0.6,0.87,1160,0.124137931,144,1016,Sepsis 3.0,1,0,1,0,0,0,0,1,0,0,1,1,0,,,,,,,
5,"Pierre Hausfater, 2021","Pierre Hausfater, Neus Robert Boter, Cristian Morales Indiano, Marta Cancella de Abreu, Adria Mendoza Marin, Julie Pernet, Dolores Quesada, Iris Castro, Diana Careaga, Michel Arock, Liliana Tejidor, and Laetitia Velly",2021,Monocyte distribution width (MDW) performance as an early sepsis indicator,CRP,0.89,0.68,1160,0.124137931,144,1016,Sepsis 3.0,1,0,1,0,0,0,0,1,0,0,1,1,0,,,,,,,
6,"Dragana D. Arbutina, 2022","Dragana D. Arbutina, Ljiljana Milic, Vladica V. Cuk, Jovan T. Juloski, Radosav Radulovic, Ana Starcevic, and Aleksandar R. Karamarkovic",2022,Significance of Biomarkers in Early Diagnosis of Abdominal Sepsis ,CRP,0.8,0.6,100,0.55,55,45,SIRS vs sepsis,0,1,1,0,1,0,0,0,1,0,1,0,0,,,,,,,
6,"Dragana D. Arbutina, 2022","Dragana D. Arbutina, Ljiljana Milic, Vladica V. Cuk, Jovan T. Juloski, Radosav Radulovic, Ana Starcevic, and Aleksandar R. Karamarkovic",2022,Significance of Biomarkers in Early Diagnosis of Abdominal Sepsis ,PCT,0.24,0.85,100,0.55,55,45,SIRS vs sepsis,0,1,1,0,1,0,0,0,1,0,1,0,0,,,,,,,
7,"Baozhong Yu , 2022","Baozhong Yu , Maolin Chen, Ye Zhang, Yudan Cao, Jun Yang, Bing Wei, Junyu Wang ",2022,Diagnostic and Prognostic Value of Interleukin-6 in Emergency Department Sepsis Patients,IL-6,0.683,0.828,128,0.4921875,63,65,Sepsis 3.0,0,0,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
8,"Yasemin Bozkurt Turan, 2023 ",Yasemin Bozkurt Turan ,2023,"The role of proadrenomedullin, interleukin 6 and CD64 in the diagnosis and prognosis of septic shock ",CD64,0.7949,0.8095,282,0.212765957,60,222,septic shock,1,0,0,1,1,0,0,0,1,1,1,0,0,,,,,,,
8,"Yasemin Bozkurt Turan, 2023 ",Yasemin Bozkurt Turan ,2023,"The role of proadrenomedullin, interleukin 6 and CD64 in the diagnosis and prognosis of septic shock ",IL-6,0.8462,0.1429,282,0.212765957,60,222,septic shock,1,0,0,1,1,0,0,0,1,1,1,0,0,,,,,,,
8,"Yasemin Bozkurt Turan, 2023 ",Yasemin Bozkurt Turan ,2023,"The role of proadrenomedullin, interleukin 6 and CD64 in the diagnosis and prognosis of septic shock ",PCT,0.7619,0.4359,282,0.212765957,60,222,septic shock,1,0,0,1,1,0,0,0,1,1,1,0,0,,,,,,,
8,"Yasemin Bozkurt Turan, 2023 ",Yasemin Bozkurt Turan ,2023,"The role of proadrenomedullin, interleukin 6 and CD64 in the diagnosis and prognosis of septic shock ",CRP,0.9524,0.1795,282,0.212765957,60,222,septic shock,1,0,0,1,1,0,0,0,1,1,1,0,0,,,,,,,
9,"Jeong YK, 2022",Jeong YK and Kim EY,2022,Predictive Role of Changes in Presepsin and Early Sepsis in ICU Patients After Abdominal Surgery.,presepsin,0.838,0.639,298,0.432885906,129,169,sepsis 3.0,1,0,0,1,1,0,0,0,1,1,0,0,1,,,,,,,
9,"Jeong YK, 2022",Jeong YK and Kim EY,2022,Predictive Role of Changes in Presepsin and Early Sepsis in ICU Patients After Abdominal Surgery.,PCT,0.667,0.89,298,0.432885906,129,169,sepsis 3.0,1,0,0,1,1,0,0,0,1,1,0,0,1,,,,,,,
10,"Lee JH, 2022",Lee JH and Kim SH and Jang JH and Park JH and Jo KM and No TH and Jang HJ and Lee HK,2022,Clinical usefulness of biomarkers for diagnosis and prediction of prognosis in sepsis and septic shock.,PCT,0.753,0.547,249,0.393574297,98,151,sepsis 3.0,1,0,1,0,1,0,0,1,0,1,0,0,1,,,,,,,
11,"Kyriazopoulou E, 2023",Kyriazopoulou E and Leventogiannis K and Tavoulareas G and Mainas E and Toutouzas K and Mathas C and Prekates A and Sakka V and Panagopoulos P and Syrigos K and Giamarellos-Bourboulis EJ,2023,Presepsin as a diagnostic and prognostic biomarker of severe bacterial infections and COVID-19.,presepsin,0.802,0.5,173,0.641618497,111,62,sepsis 3.0,1,1,1,0,0,0,1,1,0,0,1,0,1,,,,,,,
12,"Park JE, 2021",Park JE and Lee B and Yoon SJ and Park CM and Jung CW and Ahn MJ and Park HD and Hwang SY and Shin TG and Kang ES,2021,Complementary Use of Presepsin with the Sepsis-3 Criteria Improved Identification of High-Risk Patients with Suspected Sepsis.,presepsin,0.775,0.62,755,0.864900662,653,102,sepsis 3.0,1,1,1,1,0,0,1,1,0,1,0,0,1,,,,,,,
13,"Juneja D., 2023",Juneja D.; Jain N.; Singh O.; Goel A.; Arora S.,2023,"Comparison between presepsin, procalcitonin, and CRP as biomarkers to diagnose sepsis in critically ill patients",CRP,0.986,0.033,100,0.7,70,30,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
13,"Juneja D., 2023",Juneja D.; Jain N.; Singh O.; Goel A.; Arora S.,2023,"Comparison between presepsin, procalcitonin, and CRP as biomarkers to diagnose sepsis in critically ill patients",PCT,0.871,0.533,100,0.7,70,30,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
13,"Juneja D., 2023",Juneja D.; Jain N.; Singh O.; Goel A.; Arora S.,2023,"Comparison between presepsin, procalcitonin, and CRP as biomarkers to diagnose sepsis in critically ill patients",presepsin,0.771,0.667,100,0.7,70,30,sepsis 3.0,0,1,0,1,1,0,0,1,0,1,0,0,1,,,,,,,
14,"Lee, J., 2021","Lee, J. and Kim, S. and Kim, K.H. and Jeong, N.R. and Kim, S.C. and Oh, E.-J.",2021,The association between dynamic changes in serum presepsin levels and mortality in immunocompromised patients with sepsis: A prospective cohort study,presepsin,0.66,1,119,0.512605042,61,58,sepsis 3.0,0,1,0,1,1,0,1,1,0,1,0,0,1,,,,,,,
14,"Lee, J., 2021","Lee, J. and Kim, S. and Kim, K.H. and Jeong, N.R. and Kim, S.C. and Oh, E.-J.",2021,The association between dynamic changes in serum presepsin levels and mortality in immunocompromised patients with sepsis: A prospective cohort study,PCT,0.9,0.875,119,0.512605042,61,58,sepsis 3.0,0,1,0,1,1,0,1,1,0,1,0,0,1,,,,,,,
15,"Abdelshafey E.E., 2021",Abdelshafey E.E.; Nasa P.; Elgohary A.E.; Khalil M.F.; Rashwan M.A.; Ghezala H.B.; Tayar A.A.,2021,Role of presepsin for the diagnosis of sepsis and ICU mortality: A prospective controlled study,qSOFA,0.385,0.786,40,0.65,26,14,sepsis 3.0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,,,,,
15,"Abdelshafey E.E., 2021",Abdelshafey E.E.; Nasa P.; Elgohary A.E.; Khalil M.F.; Rashwan M.A.; Ghezala H.B.; Tayar A.A.,2021,Role of presepsin for the diagnosis of sepsis and ICU mortality: A prospective controlled study,SIRS,0.692,0.571,40,0.65,26,14,sepsis 3.0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,,,,,
15,"Abdelshafey E.E., 2021",Abdelshafey E.E.; Nasa P.; Elgohary A.E.; Khalil M.F.; Rashwan M.A.; Ghezala H.B.; Tayar A.A.,2021,Role of presepsin for the diagnosis of sepsis and ICU mortality: A prospective controlled study,presepsin,0.7308,0.9286,40,0.65,26,14,sepsis 3.0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,,,,,
16,"Yonaha T, 2021","Yonaha T, Maruta T, Otao G, Igarashi K, Nagata S, Yano T, et al.",2021," The 
diagnostic and prognostic value of mature and total adrenomedullin for 
sepsis: a prospective observational study. ",PCT,0.946,0.589,98,0.571428571,56,42,sepsis 3.0,0,1,0,1,1,0,1,1,0,1,0,0,1,,,,,,,
