Study,year,Title,Marker,Sample.type,Sensitivity,Specificity,Size,is.size150,Prevalence,is.prevalence05,Case,Control,Stage,GS,is.ed,is.icu,is.pureed,is.pureicu,is.serum,is.wb,is.plasma,is.sirs.vs.sepsis,is.on.admission,is.medical,is.surgical,is.trauma,is.burn,is.sirs,is.shock,is.sepsis3,cutoff,cutoff.unit,Threshold,Sample.collecting,is.af,is.as,is.eu,is.am,Zone,Country,Department,Mean.age,Measurement,is.pediatric,is.bacteremia,cannot.include,is.sepsis3.group,sponsorship,is.sponsorship,Case control design or not,is.case.control,Patient selection (inappropriate exclusion),is.ps.norisk,Index test (prespecified cutoff),is.it.norisk,Reference standard (sepsis criteria),is.rs.norisk,Flow and Timing (did not report the sample timing),is.ft.norisk,Match the review question (include non-SIRS patients),is.ps.app,Index test differ from reiew question,is.it.app,Reference standard does not match the review question,is.rs.app
"Tavladaki T, 2017 (S3)",2017,"Similar Metabolic, Innate Immunity, and Adipokine Profiles in Adult and Pediatric Sepsis Versus Systemic Inflammatory Response Syndrome-A Pilot Study",CRP,serum,0.75,0.72,46,0,0.5,1,23,23,non-infectious SIRS/sepsis vs. ss/sh,Sepsis 3.0,0,1,0,1,0,0,0,1,NA,0,0,NA,NA,NA,0,1,12.9,mg/L,12.9 mg/L,within 24 hours after admission,0,0,1,0,Eu,Greece,ICU,68 vs. 41,LumiTest ,NA,NA,NA,1,,0,no,1,unclear,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Gao L, 2018",2018,"DcR3, a new biomarker for sepsis, correlates with infection severity and procalcitonin.",CRP,plasma,0.6692,0.5082,50,0,0.46,0,23,27,sepsis vs. SSh,Sepsis 3.0,0,0,0,0,0,0,1,0,,0,0,,,,1,0,139.4,mg/L,139.4 mg/L,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Ali FT, 2016 (S3)",2016,Presepsin is an early monitoring biomarker for predicting clinical outcome in patients with sepsis.,CRP,plasma,0.424,0.833,51,0,0.647058824,1,33,18,non-infectious SIRS/sepsis vs. SS,Sepsis 3.0,0,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,97,mg/L,97 mg/L,on admision,1,0,0,0,Af,Egypt,ICU,55.2 vs. 40,,NA,NA,NA,NA,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Ali FT, 2016 (S3)",2016,Presepsin is an early monitoring biomarker for predicting clinical outcome in patients with sepsis.,PCT,plasma,0.606,0.889,51,0,0.647058824,1,33,18,non-infectious SIRS/sepsis vs. SS,Sepsis 3.0,0,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0.85,ng/mL,0.85 _gg/L,on admision,1,0,0,0,Af,Egypt,ICU,55.2 vs. 40,Ichroma CRP Test,NA,NA,NA,NA,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Ali FT, 2016 (S3)",2016,Presepsin is an early monitoring biomarker for predicting clinical outcome in patients with sepsis.,presepsin,plasma,0.697,0.833,51,0,0.647058824,1,33,18,non-infectious SIRS/sepsis vs. SS,Sepsis 3.0,0,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,907,pg/mL,907 ng/L,on admision,1,0,0,0,Af,Egypt,ICU,55.2 vs. 40,Ichroma PCT Test,NA,NA,NA,NA,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Gao L, 2018",2018,"DcR3, a new biomarker for sepsis, correlates with infection severity and procalcitonin.",LBP,plasma,0.5923,0.541,70,0,0.714285714,1,50,20,non-infected vs. sepsis/SSh,Sepsis 3.0,0,0,0,0,0,0,1,0,,0,0,,,,0,1,450,pg/mL,0.45 ng/mL,,0,1,0,0,,,,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Gao L, 2018",2018,"DcR3, a new biomarker for sepsis, correlates with infection severity and procalcitonin.",PCT,plasma,0.7154,0.7213,70,0,0.714285714,1,50,20,non-infected vs. sepsis/SSh,Sepsis 3.0,0,0,0,0,0,0,1,0,,0,0,,,,0,1,0.0742,ng/mL,74.2 mg/L,,0,1,0,0,As,China,Not provided,,,,,,,,0,no,1,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
"Klouche K, 2016 (S3)",2016,Diagnostic and prognostic value of soluble CD14 subtype (Presepsin) for sepsis and community-acquired pneumonia in ICU patients.,PCT,serum,0.8,0.59,144,0,0.694444444,1,100,44,non-SS/SSh vs. SS/Sh,Sepsis 1.0,0,1,0,1,1,0,0,NA,1,0,0,NA,NA,NA,0,1,0.4665,ng/mL,466.5 pg/ml,on admission,0,0,1,0,Eu,France,ICU,,,NA,NA,NA,1,,0,no,1,no,1,yes,0,no,1,no,1,no,1,no,1,no,1
"Klouche K, 2016 (S3)",2016,Diagnostic and prognostic value of soluble CD14 subtype (Presepsin) for sepsis and community-acquired pneumonia in ICU patients.,presepsin,plasma,0.9,0.55,144,0,0.694444444,1,100,44,non-SS/SSh vs. SS/Sh,Sepsis 1.0,0,1,0,1,0,0,1,NA,1,0,0,NA,NA,NA,0,1,466.5,pg/mL,466.5 pg/ml,on admission,0,0,1,0,Eu,France,ICU,,,NA,NA,NA,1,,0,no,1,no,1,yes,0,no,1,no,1,no,1,no,1,no,1
"Enguix-Armada A, 2016 (S3)",2016,"Usefulness of several biomarkers in the management of septic patients: C-reactive protein, procalcitonin, presepsin and mid-regional pro-adrenomedullin.",CRP,plasma,0.921,0.795,388,1,0.634020619,1,246,142,non-SS/SSh vs. SS/Sh,Surviving sepsis campaign,0,1,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,0,1,43.8,mg/L,43.8 mg/L,within the first 24 h of ICU admission,0,0,1,0,Eu,Spain,ICU,,,NA,NA,NA,1,,0,yes,0,yes,0,yes,0,no,1,no,1,no,1,no,1,no,1
